id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
647e49ab-e8ed-4490-804f-38b37102efa1,atthecorner.football,available,19.99,,medium,low,13,name.com,,
27d9658e-dd0a-45aa-9258-4919b2606948,obtain.football,available,19.99,,high,low,6,name.com,,
c5e6db70-b27f-4d1a-9b81-8fdf8385fb92,bankmachine.football,available,19.99,,medium,low,12,name.com,,
0ff6be05-ec7f-4c03-b86d-501b749d3d8e,economic.football,available,19.99,37.99,high,low,8,name.com,,
7d7a402e-5711-4d20-995f-434fb9761539,neckdeep.football,available,19.99,,low,low,9,name.com,,
a7c8b18b-9f07-4d7a-837b-1329078b8436,fallunder.football,available,19.99,,medium,low,10,name.com,,
379b6ce2-2dad-419e-a976-f9bb446523d2,egg.football,available,19.99,,high,low,3,name.com,,
9d5836e7-ffa4-4f41-a741-65c17198e7eb,weed.football,available,19.99,,medium,low,4,name.com,,
ac37d67e-fdc9-4e90-ba78-e67eeb97bc88,harvard.football,available,,,high,low,7,,,
5b18c01b-ec3b-477b-a129-529e44833270,rein.football,available,19.99,,high,low,4,name.com,,
4aa03cd0-51ca-4cec-95b3-d691f67fa14f,bilious.football,available,19.99,37.99,low,low,7,name.com,,
de7f4c26-50ca-4a5e-8bbe-355f7fdbfd33,oldest.football,available,19.99,,high,low,6,name.com,,
f8a412d2-314f-49ce-a257-8e798ab6b92e,grew.football,available,19.99,,high,low,4,name.com,,
8662391c-f7e7-4142-966c-3e2e30c9714c,acrogenous.football,available,19.99,37.99,low,low,10,name.com,,
8d3dbda6-b241-4afa-ab9e-ad249734864f,bats.football,available,19.99,37.99,low,low,4,name.com,,
400b56f5-22c3-4add-a8d6-d74ee959a1ed,nectarous.football,available,19.99,37.99,low,low,9,name.com,,
d9a96bd7-bccd-4757-94f6-41b79d66d1c7,abouteast.football,available,19.99,,medium,low,10,name.com,,
318d42bc-6032-489b-ad39-4a2b2d4ec304,inane.football,available,19.99,37.99,low,low,5,name.com,,
0c71f109-ec5c-43b1-8a86-3491ce6ac951,phonesurvey.football,available,19.99,,medium,low,12,name.com,,
68402bdc-8b5b-4cb0-bf28-646c50296076,theft.football,available,19.99,,medium,low,5,name.com,,
2e6286e3-de63-4fc4-a784-0548ed0423e9,grandchild.football,available,19.99,,medium,low,10,name.com,,
9b5a0c7d-44c5-4cad-8259-58c7f8fb86ee,hit.football,available,19.99,,high,low,3,name.com,,
d6c5944b-069d-48aa-a05e-07a504e675c4,hands.football,available,19.99,,medium,low,5,name.com,,
a052e9f7-bb6b-4993-b91f-67ecc83e6921,tip.football,premium,41.25,,high,low,3,name.com,,
aece0cca-ff34-43c3-ab83-1e016f1f2210,gillless.football,available,19.99,37.99,low,low,9,name.com,,
b9d02e32-38d8-469d-af51-2f700818d9ca,intrepid.football,available,19.99,,high,low,8,name.com,,
f4bb97d8-b3a5-4614-b47f-f6b87df5ef16,troika.football,available,19.99,37.99,low,low,6,name.com,,
ac0a7f89-f025-42ff-86c8-5c732477dd15,shrub.football,available,19.99,,medium,low,5,name.com,,
51dea16f-76ec-42bc-881e-8c9727cb270d,pompom.football,available,19.99,37.99,low,low,7,name.com,,
73ff34cf-6de4-42cc-a5c5-ca887985aabe,makesure.football,available,19.99,,high,low,9,name.com,,
494d1fed-7dc1-46ee-a486-934c317229dc,inhibit.football,available,19.99,,medium,low,7,name.com,,
4aad6521-d92c-45d5-9b66-1ea8486d7cd7,keep.football,available,19.99,,high,low,4,name.com,,
d95e0598-976c-4274-88fe-8f9a0f4e6ecf,impromptu.football,available,19.99,37.99,medium,low,9,name.com,,
8ca27aaa-2da4-48c2-ad73-df36968be11a,pauliii.football,available,19.99,,medium,low,8,name.com,,
19f58b75-085d-4df4-9f72-ce91fabd5a13,knowledgeable.football,available,19.99,,high,low,13,name.com,,
7b1fc424-eecd-47cb-b5ec-537fde0055df,mouthwash.football,available,19.99,,low,low,10,name.com,,
e09718b5-67e7-4d6f-9e17-32b31b1a5400,indian.football,premium,118.8,118.8,high,low,6,namesilo,,
68ef1ef3-f038-4a41-9df6-3f07c5483c77,hairwax.football,available,19.99,,high,low,8,name.com,,
c86aa842-11e7-49f0-bbd5-9192c8b6607b,reveal.football,available,19.99,,high,low,6,name.com,,
e6115c07-785d-46fc-8218-b083409f964d,society.football,available,19.99,,high,low,7,name.com,,
d9d0066f-84ae-481d-b4e0-d50956119db7,jock.football,available,19.99,,high,low,4,name.com,,
05fabed0-be5c-4e30-bc4c-331c507fc122,fiction.football,available,19.99,,high,low,7,name.com,,
2cb08075-7fa2-4496-b94e-e4bb6ef0fa89,letters.football,available,19.99,,high,low,7,name.com,,
72f9e5ee-0d6d-4a3d-9b3f-744693516242,analogical.football,available,19.99,37.99,low,low,10,name.com,,
bfcc9186-4c8c-4fb3-9c36-00f0ddb5a519,europe.football,resell,,,medium,low,6,"Sav.com, LLC",05/09/2025 10:27,05/09/2026 10:27
dc8430e1-54dd-4382-a8c6-6e65b4ce92d3,bryan.football,available,19.99,,medium,low,5,name.com,,
0abf22f8-d2aa-45e5-81fb-e01eec419037,airportnovel.football,available,19.99,,high,low,13,name.com,,
51a7401c-9cc3-4662-afe5-c2ff4fdfc31c,low.football,available,19.99,37.99,high,low,3,name.com,,
e160c0c8-4dd6-4ee5-b6f8-dff259337bd4,amok.football,available,19.99,37.99,low,low,4,name.com,,
